title,Cluster,genres,production_companies,popularity
Hitman,1,"Action, Thriller, Drama","Anka Film, Daybreak Productions, Dune Entertainment, Prime Universe Productions, EuropaCorp, 20th Century Fox",29.882
Monster Hunter,0,"Action, Fantasy, Adventure","CAPCOM, Constantin Film, Impact Pictures, Tencent Pictures, TOHO",40.804
Ghost in the Shell,0,"Action, Animation, Science Fiction","Bandai Visual, Production I.G, Kodansha, Manga Entertainment",37.693
A Cinderella Story,2,"Comedy, Family, Romance","Dylan Sellers Productions, Gaylord Films, Clifford Werber Productions, Warner Bros. Pictures",26.336
Chef,2,Comedy,"Altus Media, Fairview Entertainment, Prescience",20.584
Zathura: A Space Adventure,0,"Science Fiction, Adventure, Family","Teitler Film, Michael De Luca Productions, Columbia Pictures, Radar Pictures",23.535
Eastern Promises,2,"Thriller, Crime, Mystery","Focus Features, BBC Film, Astral Media, Corus Entertainment, Téléfilm Canada, Serendipity Point Films, Scion Films, Shine Pictures, Kudos, Eastern Promises Film Productions, Eastern Promises Films Limited, The Movie Network, Movie Central, Super Écran",24.135
The Gift,1,"Thriller, Mystery, Drama","Blumhouse Productions, Blue-Tongue Films, Ahimsa Films",16.035
The Cloverfield Paradox,0,"Horror, Science Fiction, Action, Thriller","Paramount, Bad Robot",19.542
The Green Hornet,0,"Action, Crime, Comedy","Original Film, Reliance Big Entertainment, Sony Pictures, Columbia Pictures",20.828
The Walk,1,"Drama, Crime, Comedy, Thriller","TriStar Pictures, ImageMovers, Sony Pictures",18.724
The Number 23,1,"Thriller, Drama, Mystery","Firm Films, New Line Cinema, Contrafilm",22.455
You've Got Mail,2,"Comedy, Romance",Warner Bros. Pictures,24.226
Red Riding Hood,0,"Action, Adventure, Horror, Fantasy, Thriller","Appian Way, Random Films, Warner Bros. Pictures",26.978
Blue Valentine,1,"Drama, Romance","Cottage Industries, Incentive Filmed Entertainment, Silverwood Films, Hunting Lane Films, Chrysler Corporation, Shade Pictures, Motel Movies",16.501
Pet Sematary,2,"Horror, Thriller","di Bonaventura Pictures, Room 101",24.949
The Lost City,0,"Action, Adventure, Comedy","Paramount, Fortis Films, 3dot Productions, Exhibit A Film",53.326
The Fox and the Hound,1,"Adventure, Animation, Drama, Family",Walt Disney Productions,29.86
The Final Destination,2,"Horror, Mystery","Parallel Zide, New Line Cinema, Practical Pictures",36.135
Daddy's Home,2,Comedy,"Paramount, Gary Sanchez Productions, Red Granite Pictures",19.515
The Flash,0,"Action, Adventure, Science Fiction","Warner Bros. Pictures, Double Dream, The Disco Factory, DC Films",480.393
The Last Duel,1,"History, Drama, Action","20th Century Studios, Scott Free Productions, Pearl Street Films, TSG Entertainment",30.646
The Mechanic,0,"Action, Thriller, Crime","Scared Productions, CBS Films, Millennium Media, Nu Image, Winkler Films",24.947
Robin Hood: Prince of Thieves,1,"Action, Adventure, Drama, Romance","Morgan Creek, Warner Bros. Pictures",30.67
End of Watch,1,"Crime, Drama, Thriller","5150 Action, EFO Films, Exclusive Media, Hedge Fund Film Partners, Crave Films, Knightsbridge Entertainment, Le Grisbi Productions",30.648
The Hunt for Red October,0,"Action, Adventure, Thriller","Paramount, Mace Neufeld Productions, Nina Saxon Film Design",34.195
The Lincoln Lawyer,1,"Crime, Drama, Thriller","Sidney Kimmel Entertainment, Lionsgate, Lakeshore Entertainment",20.214
Brooklyn,1,"Romance, Drama","Wildgaze Films, Item 7, Parallel Films, Fís Éireann/Screen Ireland",15.519
Trading Places,2,Comedy,"Cinema Group Ventures, Paramount",25.555
Surrogates,0,"Science Fiction, Action, Thriller","Wintergreen Productions, Touchstone Pictures, Mandeville Films, Top Shelf Productions",19.717
27 Dresses,2,"Comedy, Romance","Fox 2000 Pictures, Spyglass Entertainment, Dune Entertainment III",14.878
T2 Trainspotting,1,"Drama, Comedy","Creative Scotland, DNA Films, TriStar Pictures, Decibel Films, Film4 Productions, Cloud Eight Films",21.127
Twister,0,"Action, Adventure, Drama","Constant c Productions, Universal Pictures, Amblin Entertainment, Warner Bros. Pictures, Twister Productions",23.135
Rocky V,1,Drama,"United Artists, Winkler Films",36.638
Knock Knock,2,Thriller,"Sobras International Pictures, Lionsgate Premiere, UFA, Black Bear Pictures, Camp Grey, Elevated Films, Movie Trailer House, Rogovin Brothers, Dragonfly Entertainment",33.974
Self/less,0,"Science Fiction, Mystery, Thriller, Action","Ram Bergman Productions, Endgame Entertainment",36.46
Triple Frontier,0,"Action, Thriller, Crime, Adventure",Atlas Entertainment,22.251
Predator 2,0,"Science Fiction, Action, Thriller","Davis Entertainment, Lawrence Gordon Productions, Silver Pictures, 20th Century Fox",41.389
The Bling Ring,1,"Drama, Crime","American Zoetrope, NALA Films, StudioCanal, TFC, Tobis Film, FilmNation Entertainment, Pathé",27.077
Valentine's Day,2,"Comedy, Romance","Karz Entertainment, New Line Cinema, Rice Films",16.528
The Virgin Suicides,1,"Drama, Romance","American Zoetrope, Muse Productions",22.406
The Taking of Pelham 1 2 3,0,"Crime, Thriller, Action","Escape Artists, Columbia Pictures, Relativity Media, Scott Free Productions, Metro-Goldwyn-Mayer",26.237
The Scorpion King,0,"Action, Adventure, Fantasy","Universal Pictures, Alphaville Films, Kalima Productions, World Wrestling Entertainment (WWE)",22.87
Side Effects,1,"Thriller, Crime, Drama","di Bonaventura Pictures, Endgame Entertainment",21.046
Tag,0,"Comedy, Action","New Line Cinema, Broken Road Productions",19.098
Rambo III,0,"Action, Adventure, Thriller, War","TriStar Pictures, Carolco Pictures",46.671
The Hunt,0,"Action, Thriller, Horror","Blumhouse Productions, dentsu, White Rabbit Productions, Universal Pictures",26.615
Crawl,0,"Thriller, Horror, Action","Raimi Productions, Fire Axe Pictures, Serbia Creates Film, Ontario Creates",32.163
Brightburn,2,"Horror, Science Fiction, Thriller, Mystery","Troll Court Entertainment, Screen Gems, Stage 6 Films, The H Collective",29.142
Austin Powers in Goldmember,2,"Comedy, Crime, Science Fiction","Eric's Boy, New Line Cinema, Team Todd, Gratitude International, Moving Pictures",30.917
Bride Wars,2,"Comedy, Romance","Fox 2000 Pictures, Regency Enterprises, New Regency Pictures, Biride Productions, Dune Entertainment, Dune Entertainment III",24.456
The Tree of Life,1,"Drama, Fantasy","Plan B Entertainment, Fox Searchlight Pictures, River Road Entertainment, Brace Cove Productions, Summit Entertainment",18.594
The Pacifier,0,"Comedy, Family, Action","Walt Disney Pictures, Spyglass Entertainment",29.032
Master and Commander: The Far Side of the World,1,"Adventure, Drama, War","Universal Pictures, Samuel Goldwyn Films, 20th Century Fox, Miramax",20.328
The Emoji Movie,2,"Animation, Family, Comedy","Columbia Pictures, Sony Pictures Animation, Beaver House Studios (KR)",26.716
Lawless,1,"Crime, Drama, Western","The Weinstein Company, Benaroya Pictures, Yucaipa Films, Annapurna Pictures, Pie Films Inc., Red Wagon Entertainment, Revolt Films, Blum Hanson Allen Films, Blumhouse Productions",24.445
Silence,1,"Drama, History","Waypoint Entertainment, Cappa Defina Productions, CatchPlay, Fábrica de Cine, SharpSword Films, Sikelia Productions, EFO Films",28.9
Saw VI,2,"Horror, Thriller","Lionsgate, Twisted Pictures, Mandate Pictures",88.767
Underwater,0,"Horror, Science Fiction, Action, Adventure","Chernin Entertainment, 20th Century Fox, TSG Entertainment",20.152
Last Night in Soho,2,"Mystery, Thriller, Horror","Film4 Productions, Working Title Films, Complete Fiction, Perfect World Pictures, Focus Features",24.18
Hitman: Agent 47,0,"Action, Crime, Thriller","Daybreak Productions, Prime Universe Productions, Giant Pictures, TSG Entertainment, Dayday Films, Ingenious Media, Fox International Productions, Deutscher Filmförderfonds, 20th Century Fox, Medienboard Berlin-Brandenburg",28.424
Charlie's Angels: Full Throttle,0,"Action, Adventure, Comedy","Wonderland Sound and Vision, Tall Trees Productions, Flower Films, Columbia Pictures",28.985
The Tomorrow War,0,"Action, Science Fiction, Adventure","Skydance, Phantom Four, Lit Entertainment Group",103.895
Escape from New York,0,"Science Fiction, Action","AVCO Embassy Pictures, Goldcrest, International Film Investors, City Films",24.171
Tomorrow Never Dies,0,"Adventure, Action, Thriller","Eon Productions, United Artists, Danjaq",25.171
Fantasia,2,"Animation, Family",Walt Disney Productions,28.494
The Secret Life of Pets 2,0,"Adventure, Animation, Comedy, Family","Universal Pictures, Illumination",36.117
Memoirs of a Geisha,1,"Drama, Romance, History","Columbia Pictures, DreamWorks Pictures, Spyglass Entertainment, Amblin Entertainment, Red Wagon Entertainment, United Performers' Studio, StudioCanal",21.389
Elvis,1,"Drama, Music, History","Bazmark Films, The Jackal Group, Warner Bros. Pictures, Fin Design & Effects",38.867
Promising Young Woman,1,"Thriller, Crime, Drama","LuckyChap Entertainment, FilmNation Entertainment",24.609
Magic Mike,1,"Drama, Comedy","Iron Horse Entertainment, Extension 765",15.884
The Trial of the Chicago 7,1,"Drama, History","DreamWorks Pictures, Marc Platt Productions",13.69
Robin Hood,0,"Adventure, Action, Thriller","Appian Way, Safehouse Pictures, Summit Entertainment, Thunder Road, TIK Films, EMG Management, Lionsgate",23.422
House of Gucci,1,"Drama, History, Crime","Scott Free Productions, Metro-Goldwyn-Mayer, Bron Studios",26.057
American Assassin,0,"Action, Thriller","TIK Films, di Bonaventura Pictures, Nick Wechsler Productions, Lionsgate, CBS Films",19.826
Body of Lies,1,"Action, Drama, Thriller","Scott Free Productions, De Line Pictures, Warner Bros. Pictures",19.834
Charlie's Angels,0,"Action, Adventure, Comedy","Columbia Pictures, Brownstone Productions, 2.0 Entertainment, The Cantillon Company",21.139
Hustlers,1,"Drama, Comedy, Crime","Annapurna Pictures, Annapurna Pictures, Gloria Sanchez Productions, STX Films, Nuyorican Productions",19.563
Through My Window,1,"Drama, Romance, Comedy","Nostromo Pictures, Wattpad WEBTOON Studios",58.624
Bombshell,1,Drama,"Lighthouse Management + Media, Denver and Delilah Productions, Bron Studios, Annapurna Pictures, Creative Wealth Media Finance, Lionsgate, Endeavor Content",16.037
Abduction,0,"Thriller, Action, Mystery","Vertigo Entertainment, Gotham Group, Tailor Made, Mango Farms, Quick Six Entertainment, Lionsgate",13.146
Scream,2,"Horror, Mystery, Thriller","Paramount, Project X Entertainment, Radio Silence, Spyglass Media Group",107.038
The Girl with the Dragon Tattoo,1,"Drama, Thriller, Crime, Mystery","Det Danske Filminstitut, Nordisk Film Denmark, ZDF, Yellow Bird, Film Capital Stockholm, Spiltan Underhållning, Nordisk Film & TV Fond, Svenska Filminstitutet, SVT, Film i Väst",22.538
The Call,2,"Crime, Thriller","TriStar Pictures, WWE Studios, Troika Pictures, Stage 6 Films, Amasia Entertainment",20.381
Carnage,1,"Comedy, Drama","Wild Bunch, SBS Productions, SPI Film Studio, Versátil Cinema, Zanagar Films, CinéCinéma, PISF, Canal+, France 2 Cinéma, France Télévisions, Constantin Film",17.059
Letters to Juliet,1,"Comedy, Drama, Romance","Summit Entertainment, Applehead Pictures",24.282
Tower Heist,0,"Action, Comedy","Universal Pictures, Image Entertainment, Relativity Media, Rat Entertainment",26.594
Hocus Pocus,2,"Fantasy, Comedy, Family","Walt Disney Pictures, Touchwood Pacific Partners 1",35.894
The Hills Have Eyes,2,"Horror, Thriller","Fox Searchlight Pictures, Craven-Maddalena Films, Major Studio Partners, Dune Entertainment",37.418
Jeepers Creepers,2,"Horror, Thriller, Mystery","United Artists, American Zoetrope, Cinerenta Medienbeteiligungs KG, Cinerenta-Cinebeta, VCL Communications",47.275
The SpongeBob Movie: Sponge on the Run,0,"Family, Animation, Fantasy, Adventure, Comedy","United Plankton Pictures, Nickelodeon Movies, Paramount Animation, Paramount, MRC, Mikros Image",50.823
Dragon Ball Super: Broly,0,"Action, Science Fiction, Animation","Toei Animation, Shueisha, Fuji Television Network, Toei Company, Bird Studios, 20th Century Fox Japan, YOMIKO Advertising, Bandai Namco Group, avex pictures, RISINGPRODUCTION",14.988
RocknRolla,0,"Action, Crime, Thriller","StudioCanal, Dark Castle Entertainment, Toff Guy Films, Warner Bros. Pictures",19.445
Big Trouble in Little China,0,"Comedy, Action, Adventure, Fantasy","TAFT Entertainment Pictures, 20th Century Fox",29.781
All the Bright Places,1,"Romance, Drama","Echo Lake Entertainment, Mazur / Kaplan Company",24.882
They Live,0,"Science Fiction, Action","Universal Pictures, Alive Films, Larry Franco Productions",20.921
From Russia with Love,0,"Action, Thriller, Adventure","United Artists, Eon Productions, Danjaq",27.531
Alvin and the Chipmunks: The Squeakquel,0,"Comedy, Family, Animation, Fantasy, Music","Fox 2000 Pictures, Bagdasarian Productions, Regency Enterprises, 20th Century Fox, Dune Entertainment",29.061
Palm Springs,2,"Comedy, Romance, Science Fiction","Limelight, The Lonely Island",14.8
Let the Right One In,1,"Horror, Drama","EFTI, Bavaria Film International, Sandrew Metronome Sverige, Filmpool Nord, SVT, Nordisk Film & TV Fond, Svenska Filminstitutet, Canal+, WAG, Fido Film AB, Chimney Sweden",15.833
Insidious: The Last Key,2,"Horror, Mystery, Thriller","Stage 6 Films, Blumhouse Productions, Universal Pictures, Solana Films",102.088
Nomadland,1,Drama,"Cor Cordium Productions, Hear/Say Productions, Highwayman Films",18.152
Instant Family,2,Comedy,"Closest to the Hole Productions, Leverage Entertainment, Paramount",21.868
Nymphomaniac: Vol. II,1,"Drama, Mystery","Zentropa Entertainments, ARTE France Cinéma",94.13
Spaceballs,2,"Comedy, Science Fiction","Brooksfilms Ltd., Metro-Goldwyn-Mayer",27.695
Saw 3D,2,"Horror, Crime","Lionsgate, Twisted Pictures, Serendipity Productions, Mandate Pictures",103.71
The Thing,2,"Horror, Science Fiction, Mystery, Thriller","Universal Pictures, Morgan Creek, Strike Entertainment",30.741
The Legend of Zorro,0,"Action, Adventure, Western","Amblin Entertainment, Columbia Pictures",27.531
Flipped,1,"Romance, Drama",Reiner / Greisman Productions,32.9
Ferdinand,0,"Animation, Family, Adventure, Comedy","Blue Sky Studios, 20th Century Fox Animation, Davis Entertainment, 20th Century Fox",33.933
Moonfall,0,"Science Fiction, Adventure, Action","Centropolis Entertainment, Street Entertainment, Lionsgate, AGC Studios, Huayi Tencent Entertainment Company, Huayi Brothers International",55.7
The World Is Not Enough,0,"Adventure, Action, Thriller","Eon Productions, Metro-Goldwyn-Mayer, Danjaq",23.308
Beastly,1,"Drama, Fantasy, Romance","Storefront Films, CBS Films",18.012
12 Strong,1,"War, Drama, Action, History","Torridon Films, Alcon Entertainment, Black Label Media, Jerry Bruckheimer Films, Lionsgate, 16:14 Entertainment, Warner Bros. Pictures",26.628
Project Power,0,"Action, Crime, Science Fiction","Screen Arcade, Supermarché",13.629
The Lost City of Z,1,"Adventure, Drama, History","Northern Ireland Screen, Plan B Entertainment, Sierra/Affinity, MICA Entertainment, MadRiver Pictures, Keep Your Head Productions",19.31
Hotel Rwanda,1,"Drama, History, War","Sixth Sense Productions, United Artists, Lions Gate Films, Miracle Pictures, Inside Track Films, Mikado Film, Endgame Entertainment",20.47
Overlord,2,"Horror, War, Science Fiction","Bad Robot, Paramount",20.083
The Darkest Minds,0,"Action, Adventure, Drama","21 Laps Entertainment, 20th Century Fox",105.269
Good Time,2,"Crime, Thriller","Elara Pictures, Rhea Films",13.118
Den of Thieves,0,"Action, Thriller, Crime","Atmosphere Entertainment MM, Diamond Film Productions, G-BASE, Tucker Tooley Entertainment",33.471
Beowulf,0,"Adventure, Action, Animation","Paramount, Shangri-La Entertainment, ImageMovers",27.464
Dune,0,"Action, Science Fiction, Adventure",Dino De Laurentiis Company,35.361
Crank: High Voltage,0,"Action, Thriller, Crime","Lionsgate, Lakeshore Entertainment, RadicalMedia",32.0
Buried,1,"Drama, Thriller, Mystery","Versus Entertainment, The Safran Company, Dark Trick Films, Studio 37, Atresmedia, Canal+ España, Kinology, ICO",16.283
Aliens vs Predator: Requiem,0,"Fantasy, Action, Science Fiction, Thriller, Horror","Dune Entertainment, Davis Entertainment, Brandywine Productions, 20th Century Fox",47.165
Meet the Robinsons,2,"Animation, Comedy, Family","Walt Disney Pictures, Walt Disney Animation Studios",59.733
Roald Dahl's The Witches,2,"Family, Comedy, Fantasy, Horror","ImageMovers, Warner Bros. Pictures, Double Dare You Productions, Necropia Entertainment, Esperanto Filmoj",45.446
The Mitchells vs. the Machines,0,"Animation, Adventure, Comedy","Lord Miller, Columbia Pictures, Sony Pictures Animation, One Cool Film Production",31.019
The Punisher,1,"Action, Crime, Drama","Lions Gate Films, VIP Medienfonds 3, Valhalla Motion Pictures, Marvel Enterprises, VIP 2 Medienfonds",30.879
Spies in Disguise,0,"Animation, Action, Adventure, Comedy, Family","Chernin Entertainment, Blue Sky Studios, 20th Century Fox Animation, 20th Century Fox",20.917
The Rocky Horror Picture Show,2,"Comedy, Science Fiction, Fantasy, Horror","Michael White Productions, 20th Century Fox",30.109
Greyhound,1,"War, Action, Drama","Playtone, Bron Studios, FilmNation Entertainment, Sycamore Pictures, Zhengfu Pictures, Sony Pictures, Stage 6 Films",23.324
Coherence,2,"Thriller, Science Fiction","Bellanova Films, Ugly Duckling Films",19.945
The Secret World of Arrietty,0,"Fantasy, Animation, Family","Studio Ghibli, Hakuhodo DY Media Partners, Mitsubishi Shoji, dentsu, TOHO, Nippon Television Network Corporation, Wild Bunch, The Walt Disney Company (Japan), Walt Disney Pictures",30.44
You Were Never Really Here,1,"Crime, Drama, Thriller","Why Not Productions, Page 114, Film4 Productions, BFI, Amazon Studios",16.299
The Imaginarium of Doctor Parnassus,0,"Adventure, Fantasy, Mystery","Téléfilm Canada, Infinity Features Entertainment, Davis Films, The Movie Network, British Columbia Film, Movie Central, Poo Poo Pictures, Parnassus Productions, Mandate International, Sony Pictures Classics",17.551
The Descendants,1,"Comedy, Drama","Dune Entertainment, Fox Searchlight Pictures, Ad Hominem Enterprises",15.289
The Change-Up,2,Comedy,"Universal Pictures, Relativity Media, Original Film, Big Kid Pictures, Rampage VFX",36.648
Café Society,1,"Comedy, Drama, Romance","Perdido Productions, Gravier Productions, FilmNation Entertainment, Amazon Studios",9.937
Nightmare Alley,1,"Thriller, Crime, Drama","Searchlight Pictures, Double Dare You Productions",27.726
Christopher Robin,0,"Adventure, Comedy, Family, Fantasy","Walt Disney Pictures, 2DUX²",15.536
The Fountain,1,"Drama, Adventure, Science Fiction, Romance","Regency Enterprises, Protozoa Pictures, New Regency Pictures, Muse Entertainment, Warner Bros. Pictures",20.037
Open Season,0,"Animation, Family, Adventure, Comedy","Sony Pictures Animation, Columbia Pictures",21.885
August Rush,1,"Family, Drama, Music","Warner Bros. Pictures, Odyssey Entertainment, Southpaw Entertainment",26.528
1922,1,"Horror, Crime, Drama","Campfire Studios, Lighthouse Pictures",11.456
The Host,1,"Horror, Drama, Science Fiction","Chungeorahm Film, Boston Investments, Cowell Investment Capital Co., IMM Venture Capital, Knowledge & Creation Ventures, M-Venture Investment, OCN, Sego Entertainment, Seoul Broadcasting System, Tube Pictures, Cineclick Asia, Happinet Pictures, CJ Entertainment, Showbox",23.431
Mortdecai,0,"Comedy, Adventure","Lionsgate, Mad Chance, Infinitum Nihil, OddLot Entertainment, Huayi Brothers Pictures",19.252
Ouija,2,Horror,"White Noise Factory, Universal Pictures, Platinum Dunes, MRC, Blumhouse Productions, 5150 Action, Hasbro Studios, dentsu, Fuji Television Network",27.387
30 Days of Night,2,"Horror, Thriller","HorrorFlix, Columbia Pictures, Ghost House Pictures, Dark Horse Entertainment, Mandate International",24.119
The Florida Project,1,Drama,"Cre Film, Freestyle Picture Company, Cinereach, June Pictures, Altitude Film Entertainment",11.677
The Break-Up,2,"Romance, Comedy","Universal Pictures, Mosaic Media Group, Wild West Picture Show Productions",15.92
The Lake House,1,"Drama, Mystery, Romance","Sound for Film, Village Roadshow Pictures, Vertigo Entertainment, Warner Bros. Pictures, Sidus",21.061
We Bought a Zoo,1,"Drama, Comedy, Family","Dune Entertainment, Estrella Media, Vinyl Films, 20th Century Fox",20.268
Scooby-Doo 2: Monsters Unleashed,0,"Mystery, Fantasy, Adventure, Comedy","Mosaic Media Group, Warner Bros. Pictures",22.29
Tucker and Dale vs. Evil,2,"Comedy, Horror","Eden Rock Media, Gynormous Pictures",22.032
A Nightmare on Elm Street,2,"Horror, Mystery, Thriller","Platinum Dunes, New Line Cinema, Warner Bros. Pictures",30.183
Locke,1,"Drama, Thriller","IM Global, Shoebox Films",18.879
The Three Musketeers,0,"Adventure, Action, Thriller","Summit Entertainment, Constantin Film, Impact Pictures, Deutscher Filmförderfonds, Nouvelles Éditions de Films (NEF), New Legacy Film, Studio Babelsberg",27.124
Marie Antoinette,1,"Drama, History","Columbia Pictures, American Zoetrope, Pricel, TFC, Commission du Film France, Commission du Film Île-de-France",23.092
Elemental,0,"Animation, Comedy, Family, Fantasy, Romance","Walt Disney Pictures, Pixar",1008.942
Guillermo del Toro's Pinocchio,1,"Animation, Fantasy, Drama, Music","The Jim Henson Company, ShadowMachine, Double Dare You Productions",53.57
Kiss Kiss Bang Bang,2,"Comedy, Crime, Mystery, Thriller","Silver Pictures, Warner Bros. Pictures",16.312
Set It Up,2,"Romance, Comedy",Treehouse Pictures,16.485
Green Room,2,"Horror, Crime, Thriller","filmscience, Broad Green Pictures",11.648
Four Weddings and a Funeral,1,"Comedy, Drama, Romance","PolyGram Filmed Entertainment, Working Title Films, Film4 Productions",24.621
Long Shot,2,"Comedy, Romance","AG Studios, Denver and Delilah Productions, Point Grey Pictures, Good Universe, Summit Entertainment, Flarsky Productions, Lionsgate",15.28
Trainwreck,2,"Comedy, Romance","Universal Pictures, Apatow Productions, Fuji Television Network, dentsu",23.82
The Book of Life,0,"Animation, Adventure, Comedy, Family, Fantasy","Reel FX Creative Studios, 20th Century Fox Animation, Chatrone",46.433
Wallace & Gromit: The Curse of the Were-Rabbit,0,"Adventure, Animation, Comedy, Family","Aardman, DreamWorks Animation",34.477
Four Rooms,2,Comedy,"Miramax, A Band Apart",15.295
The Spiderwick Chronicles,0,"Family, Adventure, Fantasy","Paramount, The Kennedy/Marshall Company",25.373
Scary Stories to Tell in the Dark,2,"Horror, Thriller","1212 Entertainment, Double Dare You Productions, Entertainment One, CBS Films, Rolling Hills, Hivemind, Starlight Culture Entertainment Group",20.778
Me and Earl and the Dying Girl,1,"Drama, Comedy","Indian Paintbrush, Rhode Island Ave. Productions",9.649
Remember the Titans,1,Drama,"Jerry Bruckheimer Films, Run It Up Productions Inc., Technical Black, Walt Disney Pictures",25.374
Man on a Ledge,0,"Action, Thriller, Crime","Summit Entertainment, di Bonaventura Pictures",18.525
Police Academy,2,"Comedy, Crime","The Ladd Company, Warner Bros. Pictures",32.785
Anna,0,"Thriller, Action","EuropaCorp, TF1 Films Production, Summit Entertainment, Work in Progress, Fetish Film, Skyprod, Ondamax Films",32.6
Patriots Day,1,"Action, Crime, Drama, History, Thriller","TIK Films, CBS Films, Closest to the Hole Productions, Bluegrass Films, Hutch Parker Entertainment, Leverage",14.068
To All the Boys: P.S. I Still Love You,2,"Romance, Comedy","Awesomeness Films, ACE Entertainment",20.167
Project Almanac,1,"Science Fiction, Thriller, Drama","Insurge Pictures, Paramount, MTV Films, Platinum Dunes",23.805
Water for Elephants,1,"Drama, Romance","Big Screen Productions, Fox 2000 Pictures, Flashpoint Entertainment, Dune Entertainment, Ingenious Media",14.302
Alpha,1,"Adventure, Drama","Studio 8, Columbia Pictures, The Picture Company",22.163
Tinker Tailor Soldier Spy,1,"Drama, Thriller, Mystery","StudioCanal, Kinowelt Filmproduktion, CinéCinéma, Working Title Films, Karla Films, Canal+, Focus Features, TTSS, AZ Celtic Films",16.713
The Foreigner,0,"Action, Thriller","Sparkle Roll Media, STX Films, Arthur Sarkissian Productions, The Entertainer Production Company, Orange Corp, Wanda Media Co., Huayi Brothers Pictures, Prosperity Pictures",43.205
Legion,0,"Horror, Action, Fantasy","Screen Gems, Bold Films",43.95
Booksmart,2,Comedy,"Annapurna Pictures, Gloria Sanchez Productions",16.898
Concussion,1,"Drama, History","Village Roadshow Pictures, Columbia Pictures, The Cantillon Company, LStar Capital, Scott Free Productions, The Shuman Company, Sony Pictures",11.872
Immortals,1,"Fantasy, Action, Drama","Relativity Media, Virgin Produced, Hollywood Gang Productions, Atmosphere Entertainment MM, Mandate International, Rogue Pictures",24.886
Rings,2,Horror,"Paramount, Vertigo Entertainment, Macari/Edelstein, Parkes+MacDonald Image Nation, Waddieish Claretrap",24.584
The Invitation,2,"Thriller, Horror","XYZ Films, Gamechanger Films, Lege Artis, The Invitation, Drafthouse Films",13.331
Halloween Kills,2,"Horror, Thriller","Blumhouse Productions, Miramax, Rough House Pictures, Trancas International Films",37.851
Colombiana,1,"Action, Thriller, Crime, Drama","A.J.O.Z. Films, EuropaCorp, Grive Productions, CinéCinéma, Canal+, TF1 Films Production",39.974
Mowgli: Legend of the Jungle,1,"Adventure, Drama","The Imaginarium, Warner Bros. Pictures",19.312
Death Wish,1,"Action, Crime, Drama, Thriller","Metro-Goldwyn-Mayer, Cave 76 Productions",40.484
To Kill a Mockingbird,1,Drama,"Pakula-Mulligan, Brentwood Productions",25.426
Friday the 13th,2,Horror,"New Line Cinema, Paramount, Platinum Dunes, Crystal Lake Entertainment",32.569
Antichrist,1,"Drama, Horror, Thriller","Zentropa Entertainments, DR, Trollhättan Film, Memfis Film, Lucky Red, ZDF, Slot Machine, Zentropa International Köln, Zentropa International Poland, ZDF/Arte, Liberator Productions, PISF, Svenska Filminstitutet, Canal+, ARTE France Cinéma, SVT, ARTE, Film i Väst, Deutscher Filmförderfonds, CNC",22.693
Cold Pursuit,0,"Action, Crime, Thriller","StudioCanal, Paradox Produksjon, Mas Production, Summit Entertainment, Canal+, Ciné+",22.811
Smile,2,"Horror, Mystery, Thriller","Paramount Players, Temple Hill Entertainment",73.246
The Land Before Time,0,"Family, Animation, Adventure","Sullivan Bluth Studios, U-Drive Productions, Amblin Entertainment",21.324
Hairspray,1,"Comedy, Romance, Drama","Offspring Entertainment, New Line Cinema, Zadan / Meron Productions, Ingenious Media",20.765
Hard Candy,1,"Drama, Thriller",Vulcan Productions,17.414
Daddy's Home 2,2,Comedy,"Red Granite Pictures, Gary Sanchez Productions, Paramount",26.192
Mike and Dave Need Wedding Dates,2,Comedy,"Chernin Entertainment, TSG Entertainment, 20th Century Fox",14.518
Ava,0,"Action, Thriller, Crime","Freckle Films, Voltage Pictures, Vertical Entertainment",30.368
Incendies,1,"Drama, War, Mystery","TS Productions, Phi Group, micro_scope, Entertainment One, Téléfilm Canada, Super Écran, CNC, The Movie Network, Société Radio-Canada, Astral Media, Seville International, Sony Pictures Classics",19.189
ParaNorman,0,"Family, Animation, Adventure, Comedy","Laika Entertainment, Focus Features",29.363
Dungeons & Dragons: Honor Among Thieves,0,"Adventure, Fantasy, Comedy","Entertainment One, Paramount",126.33
The Hustle,0,"Comedy, Crime, Action","Pin High Productions, Metro-Goldwyn-Mayer",19.232
The Space Between Us,1,"Romance, Adventure, Science Fiction, Drama","Los Angeles Media Fund, Southpaw Entertainment, STX Films, Scarlet Fire Entertainment, Huayi Brothers Pictures, Universal Pictures",13.85
The Guilty,1,"Drama, Thriller","Nine Stories Productions, Bold Films, Fuqua Films, Amet Entertainment, Endeavor Content, Capstone Pictures",21.038
Inherent Vice,1,"Drama, Mystery, Comedy","IAC Films, Ghoulardi Film Company, Warner Bros. Pictures",31.669
The Dead Don't Die,2,"Comedy, Horror, Fantasy","Animal Kingdom, Focus Features, Film i Väst, Universal Pictures",15.472
S.W.A.T.,0,"Action, Thriller, Crime","Original Film, Camelot Pictures, Chris Lee Productions, Illusion Entertainment, Columbia Pictures",27.175
Jobs,1,"Drama, History","Open Road Films, Dillywood, Five Star Institute, Silver Reel",21.526
Evil Dead Rise,2,"Thriller, Horror","New Line Cinema, Ghost House Pictures, Renaissance Pictures, Pacific Renaissance Pictures, Wild Atlantic Pictures",188.126
